shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SA_R1,9.0531262,-79.4439991,245,1437.16
SA_R1,9.0531262,-79.4439991,246,1437.16
SA_R1,9.0531262,-79.4439991,247,1437.16
SA_R1,9.0531262,-79.4439991,248,1437.16
SA_R1,9.0531262,-79.4439991,249,1437.16
SA_R1,9.0531262,-79.4439991,250,1437.16
SA_R1,9.0531274,-79.4440027,251,1437.58
SA_R1,9.0531274,-79.4440032,252,1437.64
SA_R1,9.0531274,-79.4440032,253,1437.64
SA_R1,9.0531274,-79.4440032,254,1437.64
SA_R1,9.0531274,-79.4440032,255,1437.64
SA_R1,9.0531274,-79.4440032,256,1437.64
SA_R1,9.0531268,-79.4440108,257,1438.48
SA_R1,9.0531267,-79.4440111,258,1438.51
SA_R1,9.0531267,-79.4440111,259,1438.51
SA_R1,9.0531267,-79.4440111,260,1438.51
SA_R1,9.0531267,-79.4440111,261,1438.51
SA_R1,9.0531267,-79.4440111,262,1438.51
SA_R1,9.0531267,-79.4440111,263,1438.51
SA_R1,9.0531267,-79.4440111,264,1438.51
SA_R1,9.0531267,-79.4440111,265,1438.51
SA_R1,9.0531267,-79.4440111,266,1438.51
SA_R1,9.0531267,-79.4440111,267,1438.51
SA_R1,9.0531267,-79.4440111,268,1438.51
SA_R1,9.0531267,-79.4440111,269,1438.51
SA_R1,9.0531267,-79.4440111,270,1438.51
SA_R1,9.0531267,-79.4440111,271,1438.51
SA_R1,9.0531267,-79.4440111,272,1438.51
SA_R1,9.0531267,-79.4440111,273,1438.51
SA_R1,9.0531267,-79.4440111,274,1438.51
SA_R1,9.0531267,-79.4440111,275,1438.51
SA_R1,9.0531267,-79.4440111,276,1438.51
SA_R1,9.0531267,-79.4440111,277,1438.51
SA_R1,9.0531263,-79.4440111,278,1438.54
SA_R1,9.0531266,-79.4440108,279,1438.58
SA_R1,9.0531266,-79.4440108,280,1438.58
SA_R1,9.0531266,-79.4440108,281,1438.58
SA_R1,9.0531266,-79.4440108,282,1438.58
SA_R1,9.0531266,-79.4440108,283,1438.58
SA_R1,9.0531266,-79.4440108,284,1438.58
SA_R1,9.0531266,-79.4440108,285,1438.58
SA_R1,9.0531266,-79.4440108,286,1438.58
SA_R1,9.0531266,-79.4440108,287,1438.58
SA_R1,9.0531266,-79.4440108,288,1438.58
SA_R1,9.0531266,-79.4440108,289,1438.58
SA_R1,9.0531266,-79.4440108,290,1438.58
SA_R1,9.0531266,-79.4440108,291,1438.58
SA_R1,9.0531337,-79.4440078,292,1439.44
SA_R1,9.05314,-79.4440076,293,1440.14
SA_R1,9.0531487,-79.4440113,294,1441.19
SA_R1,9.0531566,-79.444014,295,1442.12
SA_R1,9.0531668,-79.4440104,296,1443.31
SA_R1,9.0531681,-79.4440098,297,1443.48
SA_R1,9.0531697,-79.4440166,298,1444.25
SA_R1,9.0531771,-79.4440246,299,1445.46
SA_R1,9.0531785,-79.4440251,300,1445.62
SA_R1,9.0531785,-79.4440251,301,1445.62
SA_R1,9.0531785,-79.4440251,302,1445.62
SA_R1,9.0531785,-79.4440251,303,1445.62
SA_R1,9.0531785,-79.4440251,304,1445.62
SA_R1,9.0531785,-79.4440251,305,1445.62
SA_R1,9.0531785,-79.4440251,306,1445.62
SA_R1,9.0531785,-79.4440251,307,1445.62
SA_R1,9.0531785,-79.4440251,308,1445.62
SA_R1,9.0531753,-79.4440297,309,1446.24
SA_R1,9.0531807,-79.4440378,310,1447.32
SA_R1,9.0531938,-79.4440468,311,1449.08
SA_R1,9.0532116,-79.444056,312,1451.3
SA_R1,9.0532398,-79.444073,313,1454.95
SA_R1,9.0532779,-79.4440956,314,1459.86
SA_R1,9.0533338,-79.4441274,315,1467.0
SA_R1,9.053395,-79.4441623,316,1474.81
SA_R1,9.0534667,-79.4441958,317,1483.58
SA_R1,9.0535431,-79.4442347,318,1493.1
SA_R1,9.0536304,-79.4442777,319,1503.88
SA_R1,9.0537177,-79.4443238,320,1514.83
SA_R1,9.0538106,-79.4443703,321,1526.36
SA_R1,9.0539008,-79.4444164,322,1537.59
SA_R1,9.0539903,-79.4444551,323,1548.41
SA_R1,9.0540737,-79.4444878,324,1558.36
SA_R1,9.0541432,-79.4445108,325,1566.49
SA_R1,9.0541992,-79.4445336,326,1573.2
SA_R1,9.0542336,-79.4445471,327,1577.3
SA_R1,9.0542552,-79.4445532,328,1579.8
SA_R1,9.0542802,-79.4445628,329,1582.77
SA_R1,9.0543111,-79.4445762,330,1586.5
SA_R1,9.0543495,-79.4445922,331,1591.13
SA_R1,9.0543929,-79.4446139,332,1596.5
SA_R1,9.0544501,-79.4446392,333,1603.45
SA_R1,9.054513,-79.4446671,334,1611.08
SA_R1,9.0545773,-79.4446999,335,1619.08
SA_R1,9.0546464,-79.444739,336,1627.89
SA_R1,9.0547209,-79.4447779,337,1637.21
SA_R1,9.0548061,-79.4448169,338,1647.61
SA_R1,9.0548871,-79.4448599,339,1657.78
SA_R1,9.0549659,-79.4448971,340,1667.44
SA_R1,9.0550429,-79.4449354,341,1676.99
SA_R1,9.0551174,-79.4449722,342,1686.2
SA_R1,9.0551812,-79.4449963,343,1693.78
SA_R1,9.0552284,-79.4450204,344,1699.65
SA_R1,9.0552596,-79.4450324,345,1703.37
SA_R1,9.055273,-79.4450375,346,1704.95
SA_R1,9.0552717,-79.4450366,347,1705.13
SA_R1,9.0552717,-79.445037,348,1705.17
SA_R1,9.0552717,-79.445037,349,1705.17
SA_R1,9.0552717,-79.445037,350,1705.17
SA_R1,9.0552717,-79.445037,351,1705.17
SA_R1,9.0552717,-79.445037,352,1705.17
SA_R1,9.0552717,-79.445037,353,1705.17
SA_R1,9.0552717,-79.445037,354,1705.17
SA_R1,9.0552717,-79.445037,355,1705.17
SA_R1,9.0552717,-79.445037,356,1705.17
SA_R1,9.0552717,-79.445037,357,1705.17
SA_R1,9.0552706,-79.4450385,358,1705.37
SA_R1,9.0552805,-79.445044,359,1706.63
SA_R1,9.0552924,-79.4450503,360,1708.13
SA_R1,9.0553059,-79.445062,361,1710.1
SA_R1,9.0553235,-79.4450703,362,1712.27
SA_R1,9.0553417,-79.4450863,363,1714.95
